OBJECTID,ROUTE_ID,BEGIN_POINT,END_POINT,FC_FC_CODE,FC_CODE_DESC,TOWN_NUMBER,TOWN_NAME,YEAR,GlobalID,speed
31389,"0920365",0,0.08,"7",Local,"092",NEW HAVEN,"2024",{7A8BDBD1-D1C8-4FFE-A2B9-11B599534CD5},25
31390,"0930032",0,0.21,"7",Local,"093",NEWINGTON,"2024",{1D626ACF-70F0-4830-9B10-DD5DD522973C},25
31391,"0930036",0,0.19,"7",Local,"093",NEWINGTON,"2024",{622EC3E9-ED4A-46C3-8952-7542BF95B933},25
31392,"0930053",0,0.35,"7",Local,"093",NEWINGTON,"2024",{AF5D5501-F53E-4729-ABE6-E8DD31B44B6E},25
31393,"0930060",0,0.08,"7",Local,"093",NEWINGTON,"2024",{5F69F491-BA08-4318-8E8F-AB622917E4CF},25
31394,"0930076",0,0.16,"7",Local,"093",NEWINGTON,"2024",{42C20265-3394-47B9-AD1F-F13C6D232BF3},25
31395,"0930078",0,0.07,"7",Local,"093",NEWINGTON,"2024",{EE658A24-7CC0-4697-8206-426AE6ED8C42},25
31396,"0930104",0,0.59,"7",Local,"093",NEWINGTON,"2024",{4AF6051C-C9CC-483C-B65C-BA38ECAA6BF0},25
31397,"0930109",0,0.59,"6",Minor Collector,"093",NEWINGTON,"2024",{9B7CAD4E-F0F1-47DB-B212-12C443A20035},30
31398,"0930121",0,0.1,"7",Local,"093",NEWINGTON,"2024",{4063384A-C011-47FE-AE58-46753056F9D8},25
31399,"0930130",0,0.21,"7",Local,"093",NEWINGTON,"2024",{6138DDD9-1CBC-4C07-858D-F33B42664EE4},25
31400,"0930131",0,0.19,"7",Local,"093",NEWINGTON,"2024",{FE70113F-EAD1-43A7-B9D7-544E5B16675B},25
31401,"0930138",0,0.12,"7",Local,"093",NEWINGTON,"2024",{6CB22F59-5366-4DE3-BA85-7B0247D7DDBC},25
